站点代码,数据时间,气温,气压,相对湿度,风向,风速,降雨量,能见度
56959,20211203191856,7.1,1010.1,78,240,14.6,0.1,10231.2
56964,20211203191856,22.5,1002.1,85,347,4.3,1.3,10022.5
56966,20211203191856,10.7,1020.0,75,199,2.5,0.9,10477.3
56969,20211203191856,0.3,1015.0,40,223,4.0,0.5,10157.0
56977,20211203191856,31.2,1017.0,44,237,4.1,0.8,10312.3
56985,20211203191856,28.7,1010.3,70,323,12.0,1.3,10228.7
56986,20211203191856,26.0,1003.2,19,35,4.2,1.2,10331.0
56991,20211203191856,23.4,1005.7,36,75,12.7,1.4,10314.0
59007,20211203191856,6.9,1018.9,19,64,11.4,0.9,10122.8
58448,20211203191856,18.4,1007.1,19,57,7.1,1.5,10412.2
58450,20211203191856,18.9,1017.7,44,189,13.4,0.1,10355.1
58457,20211203191856,0.7,1009.2,83,79,10.4,0.1,10452.5
58464,20211203191856,25.7,1016.7,6,173,1.3,1.5,10144.5
58467,20211203191856,10.8,1020.9,52,238,12.7,0.6,10168.5
58472,20211203191856,25.9,1000.9,61,224,5.2,0.8,10483.8
58477,20211203191856,13.6,1014.9,10,249,2.7,1.5,10340.3
58543,20211203191856,4.2,1002.6,56,137,0.3,0.0,10344.1
58549,20211203191856,11.6,1021.3,34,98,7.9,0.8,10303.6
58553,20211203191856,29.1,1008.1,25,298,6.8,0.4,10190.2
58556,20211203191856,17.8,1019.7,8,350,11.2,1.2,10313.8
58557,20211203191856,0.2,1021.5,1,134,12.1,0.3,10237.6
58562,20211203191856,3.2,1024.5,68,274,0.8,0.4,10076.1
58569,20211203191856,28.3,1020.3,82,97,4.5,0.5,10330.2
58633,20211203191856,10.8,1001.9,11,277,13.6,1.3,10369.1
58646,20211203191856,21.0,1017.6,32,41,14.8,0.4,10040.5
58652,20211203191856,29.1,1002.1,13,249,11.1,1.5,10491.0
58665,20211203191856,7.8,1010.0,41,100,2.3,0.6,10443.9
58666,20211203191856,22.8,1010.6,66,345,7.7,1.5,10175.1
58667,20211203191856,13.4,1016.2,75,288,8.0,0.5,10198.3
58742,20211203191856,15.9,1006.1,31,279,3.3,1.0,10486.4
58752,20211203191856,4.5,1003.7,97,196,1.2,1.2,10081.3
58760,20211203191856,19.2,1014.0,87,358,14.2,1.5,10115.4
57348,20211203191856,27.4,1018.3,71,199,7.0,0.0,10052.1
57426,20211203191856,25.7,1005.3,71,101,4.7,1.2,10367.0
57432,20211203191856,14.9,1009.6,34,284,2.3,0.1,10280.6
57502,20211203191856,18.9,1025.8,22,174,12.8,0.7,10318.4
57512,20211203191856,20.2,1016.2,81,234,9.0,1.0,10302.6
57516,20211203191856,21.8,1009.3,94,295,0.3,0.3,10156.5
57517,20211203191856,2.3,1022.0,35,190,11.3,0.7,10432.2
57520,20211203191856,11.8,1025.6,52,343,1.9,0.4,10455.9
57523,20211203191856,12.6,1008.8,83,102,14.7,1.4,10464.1
57536,20211203191856,34.8,1008.4,54,52,6.2,0.3,10042.3
57612,20211203191856,10.0,1017.2,21,168,3.0,1.0,10265.5
57633,20211203191856,29.3,1023.1,59,32,2.9,1.3,10218.7
